species,province,occurrences_in_province_2023
Pycnonotus goiavier,Laguna,292
Pycnonotus goiavier,Lanao del Norte,6
Pycnonotus goiavier,Leyte,46
Pycnonotus goiavier,Maguindanao,232
Pycnonotus goiavier,Marinduque,1
Pycnonotus goiavier,Masbate,22
Pycnonotus goiavier,Metro Manila,1
Pycnonotus goiavier,Metropolitan Manila,13
Pycnonotus goiavier,Misamis Occidental,6
Pycnonotus goiavier,Misamis Oriental,18
Pycnonotus goiavier,Mountain Province,18
Pycnonotus goiavier,National Capital Region (Manila),1862
Pycnonotus goiavier,Negros Occidental,231
Pycnonotus goiavier,Negros Oriental,107
Pycnonotus goiavier,Nueva Ecija,24
Pycnonotus goiavier,Nueva Vizcaya,7
Pycnonotus goiavier,Occidental Mindoro,47
Pycnonotus goiavier,Oriental Mindoro,16
Pycnonotus goiavier,Pampanga,127
Pycnonotus goiavier,Pangasinan,70
Pycnonotus goiavier,Quezon,218
Pycnonotus goiavier,Quirino,1
Pycnonotus goiavier,Rizal,444
Pycnonotus goiavier,Romblon,9
Pycnonotus goiavier,Samar,2
Pycnonotus goiavier,Sarangani,10
Pycnonotus goiavier,Sorsogon,111
Pycnonotus goiavier,South Cotabato,86
Pycnonotus goiavier,Southern Leyte,3
Pycnonotus goiavier,Sultan Kudarat,25
Pycnonotus goiavier,Surigao del Norte,33
Pycnonotus goiavier,Surigao del Sur,28
Pycnonotus goiavier,Tarlac,36
Pycnonotus goiavier,Tawi-Tawi,3
Pycnonotus goiavier,Zambales,35
Pycnonotus goiavier,Zamboanga del Norte,3
Pycnonotus goiavier,Zamboanga del Sur,115
Rhipidura nigritorquis,Abra,5
Rhipidura nigritorquis,Agusan del Norte,6
Rhipidura nigritorquis,Agusan del Sur,1
Rhipidura nigritorquis,Aklan,17
Rhipidura nigritorquis,Albay,16
Rhipidura nigritorquis,Bataan,24
Rhipidura nigritorquis,Batangas,26
Rhipidura nigritorquis,Benguet,2
Rhipidura nigritorquis,Bohol,52
Rhipidura nigritorquis,Bukidnon,3
Rhipidura nigritorquis,Bulacan,95
Rhipidura nigritorquis,Cagayan,1
Rhipidura nigritorquis,Camarines Norte,2
Rhipidura nigritorquis,Camarines Sur,36
Rhipidura nigritorquis,Camiguin,27
Rhipidura nigritorquis,Cavite,85
Rhipidura nigritorquis,Cebu,173
Rhipidura nigritorquis,Compostela Valley,13
Rhipidura nigritorquis,Cotabato,7
Rhipidura nigritorquis,Davao Oriental,2
Rhipidura nigritorquis,Davao del Norte,28
Rhipidura nigritorquis,Davao del Sur,138
Rhipidura nigritorquis,Guimaras,5
Rhipidura nigritorquis,Ifugao,5
Rhipidura nigritorquis,Ilocos Norte,7
Rhipidura nigritorquis,Ilocos Sur,2
Rhipidura nigritorquis,Iloilo,60
Rhipidura nigritorquis,Isabela,2
Rhipidura nigritorquis,Kalinga,1
Rhipidura nigritorquis,La Union,8
Rhipidura nigritorquis,Laguna,35
Rhipidura nigritorquis,Lanao del Norte,4
Rhipidura nigritorquis,Leyte,28
Rhipidura nigritorquis,Maguindanao,152
Rhipidura nigritorquis,Marinduque,2
Rhipidura nigritorquis,Masbate,14
Rhipidura nigritorquis,Metropolitan Manila,13
Rhipidura nigritorquis,Misamis Occidental,2
Rhipidura nigritorquis,Misamis Oriental,11
Rhipidura nigritorquis,National Capital Region (Manila),1176
Rhipidura nigritorquis,Negros Occidental,166
Rhipidura nigritorquis,Negros Oriental,110
Rhipidura nigritorquis,Northern Samar,1
Rhipidura nigritorquis,Nueva Ecija,8
Rhipidura nigritorquis,Nueva Vizcaya,2
Rhipidura nigritorquis,Occidental Mindoro,10
Rhipidura nigritorquis,Oriental Mindoro,2
Rhipidura nigritorquis,Palawan,223
Rhipidura nigritorquis,Pampanga,95
Rhipidura nigritorquis,Pangasinan,40
Rhipidura nigritorquis,Quezon,6
Rhipidura nigritorquis,Rizal,187
Rhipidura nigritorquis,Romblon,1
Rhipidura nigritorquis,Samar,2
Rhipidura nigritorquis,Sarangani,2
Rhipidura nigritorquis,Siquijor,12
Rhipidura nigritorquis,Sorsogon,71
Rhipidura nigritorquis,South Cotabato,25
Rhipidura nigritorquis,Southern Leyte,1
Rhipidura nigritorquis,Sultan Kudarat,16
Rhipidura nigritorquis,Surigao del Norte,23
Rhipidura nigritorquis,Surigao del Sur,11
Rhipidura nigritorquis,Tarlac,28
Rhipidura nigritorquis,Tawi-Tawi,3
Rhipidura nigritorquis,Zambales,3
Rhipidura nigritorquis,Zamboanga del Norte,2
Rhipidura nigritorquis,Zamboanga del Sur,71
Todiramphus chloris,Agusan del Norte,10
Todiramphus chloris,Agusan del Sur,20
Todiramphus chloris,Aklan,18
Todiramphus chloris,Albay,16
Todiramphus chloris,Antique,17
Todiramphus chloris,Aurora,2
Todiramphus chloris,Bataan,119
Todiramphus chloris,Batanes,30
Todiramphus chloris,Batangas,61
Todiramphus chloris,Bohol,129
Todiramphus chloris,Bukidnon,49
Todiramphus chloris,Bulacan,139
Todiramphus chloris,Cagayan,3
Todiramphus chloris,Camarines Norte,1
Todiramphus chloris,Camarines Sur,42
Todiramphus chloris,Camiguin,41
Todiramphus chloris,Capiz,1
Todiramphus chloris,Cavite,152
Todiramphus chloris,Cebu,199
Todiramphus chloris,Compostela Valley,20
Todiramphus chloris,Cotabato,18
Todiramphus chloris,Davao Occidental,1
Todiramphus chloris,Davao Oriental,3
Todiramphus chloris,Davao del Norte,53
Todiramphus chloris,Davao del Sur,233
Todiramphus chloris,Eastern Samar,5
Todiramphus chloris,Guimaras,8
Todiramphus chloris,Ilocos Norte,17
Todiramphus chloris,Ilocos Sur,3
Todiramphus chloris,Iloilo,75
Todiramphus chloris,Isabela,4
Todiramphus chloris,La Union,21
Todiramphus chloris,Laguna,142
Todiramphus chloris,Lanao del Norte,3
Todiramphus chloris,Leyte,45
Todiramphus chloris,Maguindanao,78
Todiramphus chloris,Marinduque,2
Todiramphus chloris,Masbate,36
Todiramphus chloris,Metropolitan Manila,3
Todiramphus chloris,Misamis Occidental,1
Todiramphus chloris,Misamis Oriental,7
Todiramphus chloris,National Capital Region (Manila),921
Todiramphus chloris,Negros Occidental,216
Todiramphus chloris,Negros Oriental,172
Todiramphus chloris,Northern Samar,4
Todiramphus chloris,Nueva Ecija,9
Todiramphus chloris,Nueva Vizcaya,2
Todiramphus chloris,Occidental Mindoro,47
Todiramphus chloris,Oriental Mindoro,12
Todiramphus chloris,Palawan,394
Todiramphus chloris,Pampanga,86
Todiramphus chloris,Pangasinan,62
Todiramphus chloris,Quezon,32
Todiramphus chloris,Rizal,268
Todiramphus chloris,Romblon,20
Todiramphus chloris,Samar,7
Todiramphus chloris,Sarangani,5
Todiramphus chloris,Siquijor,19
Todiramphus chloris,Sorsogon,90
Todiramphus chloris,South Cotabato,39
Todiramphus chloris,Southern Leyte,2
Todiramphus chloris,Sultan Kudarat,17
Todiramphus chloris,Surigao del Norte,52
Todiramphus chloris,Surigao del Sur,29
Todiramphus chloris,Tarlac,43
Todiramphus chloris,Tawi-Tawi,3
Todiramphus chloris,Zambales,24
Todiramphus chloris,Zamboanga del Norte,3
Todiramphus chloris,Zamboanga del Sur,89
